"","Name","PPG","GP","Mins","FGA","FGM","FG%","3PA","3PM","3P%","FTA","FTM","FT%","PPM","PF3PG","PerPF3"
"1","Carlik Jones",26.1,24,38.4,19.8,9.5,0.482,5.8,2.1,0.357,4,3.1,0.789,0.6796875,6.3,24.1379310344828
"2","Darius Days",24.4,29,35.4,18.5,9,0.487,10.8,4,0.373,1.7,1.4,0.857,0.689265536723164,12,49.1803278688525
"3","Frank Jackson",23.2,23,32.9,16,8,0.504,8.2,3.6,0.439,2.8,2.3,0.831,0.70516717325228,10.8,46.551724137931
"4","Justin Anderson",22.9,30,37.5,16.3,7.7,0.474,6.4,2.1,0.328,4.2,3.5,0.832,0.610666666666667,6.3,27.5109170305677
"5","Trevelin Queen",22.6,24,34.4,18.2,8.8,0.482,7.1,1.9,0.265,2.3,2,0.889,0.656976744186047,5.7,25.2212389380531
"6","Mason Jones",22.3,20,33.7,14.5,7.4,0.509,5.9,2.4,0.407,4.4,3.7,0.841,0.661721068249258,7.2,32.2869955156951
"7","Lindell Wigginton",22.3,20,36.5,15.6,7.3,0.465,7.1,2.7,0.383,3.6,3,0.833,0.610958904109589,8.1,36.322869955157
"8","Jay Scrubb",22.2,28,30.8,17.4,8,0.457,7.1,2,0.283,3.6,2.7,0.75,0.720779220779221,6,27.027027027027
"9","Luka Samanic",22,27,29.3,17.3,8.4,0.484,7.4,2.4,0.33,2.1,1.6,0.759,0.750853242320819,7.2,32.7272727272727
"10","Xavier Moon",22,29,32.5,16.7,8.6,0.515,5.2,2.2,0.42,1.9,1.6,0.855,0.676923076923077,6.6,30
"11","Lester Quinones",21.8,31,31.8,16.4,7.4,0.451,8.8,3.1,0.354,3.2,2.5,0.778,0.685534591194969,9.3,42.6605504587156
"12","Gabe York",21.4,27,34.5,16.6,7.4,0.45,9.5,3.8,0.401,2,1.7,0.818,0.620289855072464,11.4,53.2710280373832
"13","Scotty Pippen, Jr.",21.4,19,27.9,14.5,6.8,0.469,4.7,1.4,0.3,5.1,3.9,0.771,0.767025089605735,4.2,19.6261682242991
"14","Sharife Cooper",21.3,25,32.4,16.6,7.2,0.431,4.7,1.5,0.316,4.1,3.5,0.853,0.657407407407407,4.5,21.1267605633803
"15","Nate Darling",21.3,21,31.3,16.8,7.8,0.462,8.5,3.3,0.388,2,1.7,0.857,0.680511182108626,9.9,46.4788732394366
"16","Grant Riller",21.3,26,27.7,16.1,8.4,0.52,2.6,0.8,0.324,3,2.4,0.808,0.768953068592058,2.4,11.2676056338028
"17","DaQuan Jeffries",21.2,21,33.4,15.6,7.7,0.492,6.5,2.5,0.387,2.8,1.9,0.678,0.634730538922156,7.5,35.377358490566
"18","D.J. Stewart",21.1,23,36.6,16.7,8,0.477,3.9,1.3,0.337,3.4,2.4,0.709,0.576502732240437,3.9,18.4834123222749
"19","Reggie Perry",20.7,24,27.7,14.7,7.2,0.487,3.3,0.9,0.282,4,3.3,0.833,0.747292418772563,2.7,13.0434782608696
"20","Kelan Martin",20.4,30,30.9,14.5,7.3,0.502,5.6,2.4,0.423,2.4,2.2,0.89,0.660194174757282,7.2,35.2941176470588
"21","Mfiondu Kabengele",20,27,29.8,12,7.2,0.604,2.9,1,0.342,3.4,2.7,0.791,0.671140939597315,3,15
"22","Trevor Hudgins",20,28,38.5,16.3,6.6,0.404,11.9,4.5,0.38,1.8,1.6,0.88,0.519480519480519,13.5,67.5
"23","Devontae Cacok",19.9,14,31.2,13.4,7.9,0.585,0.9,0.2,0.25,3.9,2.6,0.667,0.637820512820513,0.6,3.01507537688442
"24","Mac McClung",19.8,31,26.8,12.7,7,0.55,4.9,2.3,0.474,2.5,2.1,0.823,0.738805970149254,6.9,34.8484848484848
"25","Marial Shayok",19.7,21,31.7,12.1,7,0.575,4.9,2.4,0.5,2.4,2.2,0.922,0.621451104100946,7.2,36.5482233502538
"26","Gary Clark",19.6,29,35.1,15,6.4,0.431,9.7,4,0.416,2.3,1.7,0.721,0.558404558404558,12,61.2244897959184
"27","Brandon Williams",19.5,28,31.7,14.6,6.8,0.465,4.4,1.6,0.358,3.6,2.7,0.752,0.615141955835962,4.8,24.6153846153846
"28","D.J. Wilson",19.4,5,34.2,15.4,8,0.519,6.2,2,0.323,1.8,0.8,0.444,0.567251461988304,6,30.9278350515464
"29","Paris Bass",18.9,28,29,14.3,7.2,0.503,4.4,1.6,0.371,2.5,1.8,0.718,0.651724137931034,4.8,25.3968253968254
"30","Tyler Dorsey",18.9,12,30.7,17.3,6.8,0.396,8.3,3.1,0.37,1.7,1.3,0.8,0.615635179153094,9.3,49.2063492063492
"31","Jamaree Bouyea",18.6,22,34.6,13.2,7.3,0.55,3.3,1.1,0.329,2.4,1.8,0.736,0.53757225433526,3.3,17.741935483871
"32","Dereon Seabron",18.4,27,34.5,13.4,6.8,0.507,2.1,0.8,0.375,3.3,2.6,0.778,0.533333333333333,2.4,13.0434782608696
"33","Sam Merrill",18.4,22,34.5,13,6,0.463,8.9,3.9,0.441,1.6,1.4,0.886,0.533333333333333,11.7,63.5869565217391
"34","Jermaine Samuels",18.3,32,34.8,11,7.3,0.668,1.3,0.6,0.45,3.3,1.9,0.577,0.525862068965517,1.8,9.83606557377049
"35","Jamorko Pickett",18.3,25,34.4,13.8,6,0.433,7,2.3,0.333,2.9,2.4,0.833,0.531976744186047,6.9,37.7049180327869
"36","Javon Freeman-Liberty",18.2,17,30.2,12.6,6.2,0.495,5,1.9,0.376,2.8,2.2,0.792,0.602649006622517,5.7,31.3186813186813
"37","Justin Champagnie",18.2,23,31.7,13.9,7.3,0.522,4.8,1.5,0.306,2,1.3,0.689,0.574132492113565,4.5,24.7252747252747
"38","Kobi Simmons",18.2,32,31.8,12.7,6.2,0.489,6.4,2.5,0.383,2.6,2.1,0.795,0.572327044025157,7.5,41.2087912087912
"39","Jared Rhoden",18.1,24,34.8,14.2,6.7,0.471,5.1,1.9,0.374,2,1.7,0.851,0.520114942528736,5.7,31.4917127071823
"40","Leonard Miller",18,24,30.6,13,7.3,0.556,2.2,0.7,0.327,2,1.6,0.792,0.588235294117647,2.1,11.6666666666667
